0,COV Student (St. Louis),,COV Student (St. Louis)
1,COV Faculty,,COV Faculty
2,COV Community,,COV Community
3,COV Alumnus,,COV Alumnus
4,,,
5,COV ILL,,COV ILL
6,COV Reciprocal Borrower,,COV Reciprocal Borrower
7,COV Student (Nashville),,COV Student (Nashville)
8,COV Student (DMin),,COV Student (DMin)
9,COV Student (Online),,COV Student (Online)
10,COV Library Staff,,COV Library Staff
11,COV Staff,,COV Staff
12,COV Student (Phoenix),,COV Student (Phoenix)
13,,,
14,COV Minister,,COV Minister
15,COV Church Member,,COV Church Member
16,,,
17,,,
18,,,
19,COV Controlled Digital Lending,,COV Controlled Digital Lending
20,FONT Undergrad Student,,FONT Undergrad Student
21,FONT Grad Student,,FONT Grad Student
22,FONT Options Student,,
23,FONT Faculty,,
24,FONT Faculty and Staff,,FONT Faculty and Staff
25,FONT Emeritus Faculty,,FONT Emeritus Faculty
26,FONT Alumni,,FONT Alumni
27,FONT CSJ,,FONT CSJ
28,FONT Guest,,FONT Courtesy
29,FONT Interlibrary Loan,,
30,FONT InfoPass,,FONT InfoPass
31,,,
32,,,
33,,,
34,,,
35,,,
36,,,
37,,,
38,,,
39,,,
40,HS Student,,HS Student
41,HS Employee,,HS Employee
42,HS Courtesy,,HS Courtesy
43,HS Talent Search,,HS Talent Search
44,HS Upward Bound,,HS Upward Bound
45,,,
46,,,
47,,,
48,,,
49,,,
50,KGS Faculty/Staff,,KGS Faculty/Staff
51,KGS Student,,KGS Student
52,KGS Guest/Visitor,,KGS Guest/Visitor
53,,,
54,,,
55,,,
56,,,
57,,,
58,,,
59,,,
60,LU Traditional Undergrad,,LU Traditional Undergrad
61,LU Non Degree Seeking (inactive),,LU Non Degree Seeking (inactive)
62,"LU Workshop grad, off campus",,"LU Workshop grad, off campus"
63,LU evening undergraduate,,
64,ADP Undergrad,,ADP Undergrad
65,ADP Graduate,,ADP Graduate
66,LU Plaster (inactive),,LU Plaster (inactive)
67,LU Plaster College MBA,,LU Plaster College MBA
68,LU Masters in Fine Arts,,LU Masters in Fine Arts
69,LU Undergrad not on campus,,LU Undergrad not on campus
70,LU Early College Start Student,,LU Early College Start Student
71,LU Specialist,,LU Specialist
72,LU Masters,,LU Masters
73,LU faculty full-time,,LU faculty full-time
74,LU faculty adjunct,,LU faculty adjunct
75,LU staff,,LU staff
76,"LU special (board alumni, etc.)",,"LU special (board alumni, etc.)"
77,LU Infopass,,
78,LU Interlibrary loan,,LU Interlibrary loan
79,LU graduate student counseling,,
80,LU Doctoral,,LU Doctoral
81,,,
82,,,
83,,,
84,,,
85,,,
86,,,
87,,,
88,,,
89,,,
90,Logan Administration,,Logan Administration
91,Logan Alumni,,Logan Alumni
92,Logan ASP,,
93,Logan Faculty,,Logan Faculty
94,Logan Field Doctors,,Logan Field Doctors
95,Logan Info Pass,,Logan Info Pass
96,Logan Interlibrary Loan,,Logan Interlibrary Loan
97,Logan Interrupted Student,,
98,Logan Special Patron,,Logan Special Patron
99,Logan Staff,,Logan Staff
100,Logan Student,,Logan Student
101,Logan Tri 10 Student,,
102,,,
103,,,
104,,,
105,,,
106,,,
107,,,
108,,,
109,,,
110,Maryville Board,,
111,Maryville Adjunct Faculty,,Maryville Adjunct Faculty
112,Maryville Full Time Faculty,,Maryville Full Time Faculty
113,Maryville Part Time Faculty,,
114,Maryville Sisters Sacred Heart,,
115,Maryville Staff,,Maryville Staff
116,Maryville Graduate Students,,Maryville Graduate Students
117,Maryville Non-degree students,,
118,Maryville ELS Students,,
119,Maryville Partner Teachers,,
120,Maryville Undergraduate Students,,Maryville Undergraduate Students
121,Maryville Friends,,Maryville Friends
122,Maryville InfoPass,,Maryville InfoPass
123,Maryville HEC or DMA,,
124,Maryville ILL,,
125,Maryville Emeritus Faculty,,
126,Maryville Expired,,
127,Maryville Alumni,,
128,MU Library Staff for My Millenni,,
129,MU St. Louis Women's Chorale,,MU St. Louis Women's Chorale
130,,,
131,,,
132,,,
133,,,
134,,,
135,,,
136,,,
137,,,
138,,,
139,,,
140,MBC Students,,MBC Students
141,MBC Faculty/Staff,,MBC Faculty/Staff
142,MBC Friends of the Library,,MBC Friends of the Library
143,MBC Inter-Library Loan,,MBC Inter-Library Loan
144,MBC Doctoral,,MBC Doctoral
145,MBC Alumni,,MBC Alumni
146,,,
147,,,
148,,,
149,,,
150,,,
151,WEBST Students - Online Int'l,,WEBST Students - Online Int'l
152,WEBST Students - Online Domestic,,WEBST Students - Online Domestic
153,WEBST Faculty - International,,WEBST Faculty - International
154,WEBST Students - International,,WEBST Students - International
155,WEBSTER Athens UG student,,WEBSTER Athens UG student
156,WEBSTER Athens Grad student,,WEBSTER Athens Grad student
157,WEBSTER Athens fac/staff,,WEBSTER Athens fac/staff
158,WEBSTER Vienna Students,,WEBSTER Vienna Students
159,WEBSTER Vienna Faculty/Staff,,WEBSTER Vienna Faculty/Staff
160,EDEN-WEB Staff,,EDEN-WEB Staff
161,EDEN Faculty,,EDEN Faculty
162,WEBSTER Faculty,,WEBSTER Faculty
163,WEBSTER Faculty at site in Mo.,,WEBSTER Faculty at site in Mo.
164,WEBST Faculty USA outside MO,,WEBST Faculty USA outside MO
165,WEBST Students USA outside MO,,WEBST Students USA outside MO
166,WEBSTER Student at site in Mo.,,WEBSTER Student at site in Mo.
167,EDEN Students (Includes Dmin),,EDEN Students (Includes Dmin)
168,WEBSTER Grad Students,,WEBSTER Grad Students
169,WEBSTER Undergrads,,WEBSTER Undergrads
170,WEBSTER Sites&DualAdmit Students,,WEBSTER Sites&DualAdmit Students
171,WEB ResFellows&Board of Trustees,,WEB ResFellows&Board of Trustees
172,EDEN Alumni,,EDEN Alumni
173,WEBSTER Alumni,,WEBSTER Alumni
174,EDEN-WEB Other,,EDEN-WEB Other
175,EDEN-WEB Infopass,,EDEN-WEB Infopass
176,EDEN-WEB ILL,,EDEN-WEB ILL
177,EDEN-WEB Pseudo-Patrons,,EDEN-WEB Pseudo-Patrons
178,,,
179,,,
180,CSL M.Div./M.Deac./Certificate,,CSL M.Div./M.Deac./Certificate
181,CSL MA/STM/DMin/Ph.D.,,CSL MA/STM/DMin/Ph.D.
182,CSL Distance Program Student,,CSL Distance Program Student
183,CSL Faculty,,CSL Faculty
184,CSL Staff,,CSL Staff
185,CSL Guest Instructor,,CSL Guest Instructor
186,CSL LCMS Rostered,,CSL LCMS Rostered
187,CSL Inter-Library Loan,,CSL Inter-Library Loan
188,CSL Student Spouse,,CSL Student Spouse
189,CSL Emeriti,,CSL Emeriti
190,CSL IC Researcher,,CSL IC Researcher
191,CSL CHI Staff,,CSL CHI Staff
192,CSL Non-Rostered Alumni,,CSL Non-Rostered Alumni
193,CSL Placeholder,,
194,CSL Special,,CSL Special
195,CSL Placeholder,,
196,CSL Placeholder,,
197,CSL Placeholder,,
198,CSL Placeholder,,
199,CSL Placeholder,,
200,Local Loans Only,,
201,Academic Undergrad,,
202,Academic Grad,,
203,Academic Faculty,,
204,Academic Staff,,
205,Academic Affiliates,,
206,Academic Other,,
207,Public,,
208,Public Staff,,
209,Public Other,,
210,Test - Borrowing,,
211,Test - Non-Borrowing,,
212,CRL - Local Loans Only,,
213,CRL - Acad Undergrad,,
214,CRL - Academic Grad,,
215,CRL - Academic Faculty,,
216,CRL - Academic Staff,,
217,CRL - Acad Affiliates,,
218,CRL - Test,,
219,CRL - Test,,
220,MOBIUS VP 20 BOOK-AV,,
221,MOBIUS Placeholder,,
222,MOBIUS Placeholder,,
223,MOBIUS Placeholder,,
224,MOBIUS VP 10 BOOK-AV,,
225,MOBIUS Placeholder,,
226,MOBIUS Placeholder,,
227,MOBIUS 30 VP BOOK-AV,,
228,MOBIUS 30 BOOK,,
229,MOBIUS 20 BOOK-AV,,
230,MOBIUS 30 BOOK-AV,,
231,MOBIUS Placeholder,,
232,MOBIUS Placeholder,,
233,MOBIUS Placeholder,,
234,MOBIUS Placeholder,,
235,MOBIUS 20 BOOK-WAM,,
236,MOBIUS 20 BOOK-AV-WAM,,
237,MOBIUS 10 BOOK-AV-WAM,,
238,MOBIUS 30 BOOK-AV-WAM,,
239,MOBIUS 10 BOOK-WAM,,
240,MOBIUS 10 BOOK-AV,,
241,MOBIUS 30 BOOK-WAM,,
242,MOBIUS VP 20 BOOK,,
243,SLU-MERLINVP30ExtB-AV-W,,
244,SLU-MERLINVP20ExtB-AV-W,,
245,SLU-MERLIN30 ExtB-AV-W,,
246,MOBIUS VP 10 BOOK,,
247,SLU-MERLIN20ExtB-AV-W,,
248,MOBIUS VP 30 BOOK,,
249,MOBIUS 20 BOOK,,
250,MOBIUS 10 BOOK,,
251,SLU-MERLINVP30ExtB-AV,,
252,SLU-MERLINVP20ExtB-AV,,
253,MOBIUS Reserve Recall,,
254,MOBIUS VP Restricted,,
255,,,